井名,坐标X,坐标Y,百度坐标lng,百度坐标lat
端氏-001,638842.16,3947966.87,112.5265536,35.64501361
端氏-047,636447.93,3949538.09,112.5002918,35.65977687
端氏-078,643644.69,3949789.24,112.5799505,35.66051101
端氏-110,643802.52,3950031.05,112.5817263,35.66269424
端氏-140,644161.12,3950345.44,112.5857196,35.66554114
端氏-172,643049.07,3950524.85,112.5735308,35.66713715
端氏-197,644492.06,3950763.45,112.5894273,35.66932384
端氏-224,644543.4,3951050.62,112.5900423,35.67191444
端氏-226,643895.24,3950950.35,112.5829068,35.67098179
樊61,644180.72,3965231.13,112.5885952,35.79969569
樊62,645067.73,3964003.91,112.5981276,35.78867355
樊63,644298.26,3960470.62,112.5890549,35.75680511
樊64,648437.62,3960559.07,112.6347426,35.75724418
樊65,647378.73,3958158.53,112.6225832,35.73587534
樊66,650026.5,3957465.36,112.6518291,35.72886473
樊67,646024.85,3955194.39,112.6070962,35.70929993
樊70,635221.82,3948893.28,112.486675,35.65405946
樊71,643369.06,3950882.58,112.5771129,35.67035905
华成1-12,636069.51,3949484.1,112.4961071,35.65933625
华成1-14,635662.43,3949388.35,112.4916049,35.65850504
华成1-18,635060.14,3948646.85,112.4848574,35.65184012
华成1-2,636637.25,3950432.9,112.5025321,35.6678085
华成1-4,636116.24,3950093.49,112.496723,35.6648214
华固6-23,645518.06,3960884.3,112.6025383,35.76057513
华固6-28,646420.53,3960923.18,112.6124873,35.76089702
华固6-31,646591.8,3960652.25,112.61433,35.75844239
华加10,647609.92,3962426.82,112.6258966,35.77427007
华加10-1,649969.63,3962363.78,112.6520871,35.77298717
华加10-2,649673.78,3962490.03,112.6488208,35.77422669
华加11,644210.73,3952526.45,112.5866582,35.68520091
华加11-1,639149.62,3952941.11,112.5308257,35.68970897
华加11-2,638802.77,3953000.13,112.5269842,35.69035705
华加11-3,639482.44,3952286.01,112.5344031,35.68369619
华加12,644259.65,3952947.19,112.5872733,35.68899595
华加13,644605.2,3953081.58,112.5910933,35.69022415
华加14,644468.98,3952678.17,112.5895223,35.68658092
华加15,644198.85,3952964.29,112.5866088,35.68914727
华加16,644230.64,3953560.04,112.587069,35.69451935
华加17,644552.08,3953837.72,112.5906515,35.69703815
华加19,645020.9,3953998.75,112.5958313,35.69851096
华加20,645356.7,3953637.39,112.599453,35.69526417
华加21,645414.07,3953455.26,112.6000492,35.69362365
华加2-2,640527.95,3954745.77,112.5464556,35.70553664
华加23,645621.87,3953386.21,112.6023206,35.69300427
华加24,645502.37,3953862.67,112.6010968,35.69729788
华加25,645711.56,3953658.3,112.6033582,35.69545738
华加26,645934.08,3953798.94,112.6058326,35.69672345
华加27,645282.44,3954754.09,112.5988476,35.70532901
华加28,645579,3954871.96,112.6021301,35.70639706
